,nt_ref,ot_ref,ot_text
46,"Mt 27:9,10",Zec 11:13,"And the LORD said unto me, Cast it unto the potter: a goodly price that I was prised at of them. And I took the thirty pieces of silver, and cast them to the potter in the house of the LORD."
47,Mt 27:35,Ps 22:18,"They part my garments among them, and cast lots upon my vesture."
48,Mt 27:46,Ps 22:1,"My God, my God, why hast thou forsaken me? why art thou so far from helping me, and from the words of my roaring?"
49,"Mr 1:2,3",Mal 3:1,"Behold, I will send my messenger, and he shall prepare the way before me: and the LORD, whom ye seek, shall suddenly come to his temple, even the messenger of the covenant, whom ye delight in: behold, he shall come, saith the LORD of hosts."
50,"Mr 1:2,3",Isa 40:3,"The voice of him that crieth in the wilderness, Prepare ye the way of the LORD, make straight in the desert a highway for our God."
51,Mr 4:12,Isa 6:9,"And he said, Go, and tell this people, Hear ye indeed, but understand not; and see ye indeed, but perceive not."
52,"Mr 7:6,7",Isa 29:13,"Wherefore the Lord said, Forasmuch as this people draw near me with their mouth, and with their lips do honour me, but have removed their heart far from me, and their fear toward me is taught by the precept of men:"
53,Mr 7:10,Ex 20:12,Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
54,Mr 7:10,De 5:16,"Honor thy father and thy mother, as the LORD thy God hath commanded thee; that thy days may be prolonged, and that it may go well with thee, in the land which the LORD thy God giveth thee."
55,Mr 7:10,Ex 21:17,"And he that curseth his father, or his mother, shall surely be put to death."
56,Mr 7:10,Pr 20:20,"Whoso curseth his father or his mother, his lamp shall be put out in obscure darkness."
57,Mr 10:6,Ge 1:27,"So God created man in his own image, in the image of God created he him; male and female created he them."
58,Mr 10:7,Ge 2:24,"Therefore shall a man leave his father and his mother, and shall cleave unto his wife: and they shall be one flesh."
59,Mr 10:19,"Ex 20:12,13,14",Honor thy father and thy mother: that thy days may be long upon the land which the LORD thy God giveth thee.
60,Mr 11:9,Ps 118:26,Blessed be he that cometh in the name of the LORD: we have blessed you out of the house of the LORD.
61,Mr 11:17,Isa 56:7,"Even them will I bring to my holy mountain, and make them joyful in my house of prayer: their burnt offerings and their sacrifices shall be accepted upon mine altar; for mine house shall be called an house of prayer for all people."
62,Mr 11:17,Jer 7:11,"Is this house, which is called by my name, become a den of robbers in your eyes? Behold, even I have seen it, saith the LORD."
63,"Mr 12:10,11","Ps 118:22,23",The stone which the builders refused is become the head stone of the corner.
64,Mr 12:19,De 25:5,"If brethren dwell together, and one of them die, and have no child, the wife of the dead shall not marry without unto a stranger: her husband's brother shall go in unto her, and take her to him to wife, and perform the duty of an husband's brother unto her."
65,Mr 12:26,Ex 3:6,"Moreover he said, I am the God of thy father, the God of Abraham, the God of Isaac, and the God of Jacob. And Moses hid his face; for he was afraid to look upon God."
66,"Mr 12:29,30","De 6:4,5","Hear, O Israel: The LORD our God is one LORD:"
