,ot_ref,nt_ref,nt_text
273,Ex 24:8,Heb 9:20,"Saying, This is the blood of the testament which God hath enjoined unto you."
271,Ex 25:40,Heb 8:5,"Who serve unto the example and shadow of heavenly things, as Moses was admonished of God when he was about to make the tabernacle: for, See, saith he, that thou make all things according to the pattern shewed to thee in the mount."
130,Ex 32:1,Ac 7:40,"Saying unto Aaron, Make us gods to go before us: for as for this Moses, which brought us out of the land of Egypt, we wot not what is become of him."
212,Ex 32:6,1Co 10:7,"Neither be ye idolaters, as were some of them; as it is written, The people sat down to eat and drink, and rose up to play."
166,Ex 33:19,Ro 9:15,"For he saith to Moses, I will have mercy on whom I will have mercy, and I will have compassion on whom I will have compassion."
291,Le 11:44,1Pe 1:16,"Because it is written, Be ye holy; for I am holy."
74,Le 12:8,Lu 2:24,"And to offer a sacrifice according to that which is said in the law of the Lord, A pair of turtledoves, or two young pigeons."
174,Le 18:5,Ro 10:5,"For Moses describeth the righteousness which is of the law, That the man which doeth those things shall live by them."
237,Le 18:5,Ga 3:12,"And the law is not of faith: but, The man that doeth them shall live in them."
31,Le 19:18,Mt 19:19,"Honour thy father and thy mother: and, Thou shalt love thy neighbour as thyself."
41,Le 19:18,Mt 22:39,"And the second is like unto it, Thou shalt love thy neighbour as thyself."
67,Le 19:18,Mr 12:31,"And the second is like, namely this, Thou shalt love thy neighbour as thyself. There is none other commandment greater than these."
85,Le 19:18,Lu 10:27,"And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself."
196,Le 19:18,Ro 13:9,"For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not bear false witness, Thou shalt not covet; and if there be any other commandment, it is briefly comprehended in this saying, namely, Thou shalt love thy neighbour as thyself."
242,Le 19:18,Ga 5:14,"For all the law is fulfilled in one word, even in this; Thou shalt love thy neighbour as thyself."
287,Le 19:18,Jas 2:8,"If ye fulfil the royal law according to the scripture, Thou shalt love thy neighbour as thyself, ye do well:"
225,"Le 26:11,12",2Co 6:16,"And what agreement hath the temple of God with idols? for ye are the temple of the living God; as God hath said, I will dwell in them, and walk in them; and I will be their God, and they shall be my people."
283,De 4:24,Heb 12:29,For our God is a consuming fire.
26,De 5:16,Mt 15:4,"For God commanded, saying, Honour thy father and mother: and, He that curseth father or mother, let him die the death."
54,De 5:16,Mr 7:10,"For Moses said, Honour thy father and thy mother; and, Whoso curseth father or mother, let him die the death:"
88,De 5:16-20,Lu 18:20,"Thou knowest the commandments, Do not commit adultery, Do not kill, Do not steal, Do not bear false witness, Honour thy father and thy mother."
195,De 5:16-21,Ro 13:9,"For this, Thou shalt not commit adultery, Thou shalt not kill, Thou shalt not steal, Thou shalt not bear false witness, Thou shalt not covet; and if there be any other commandment, it is briefly comprehended in this saying, namely, Thou shalt love thy neighbour as thyself."
248,De 5:16,"Eph 6:2,3",Honour thy father and mother; which is the first commandment with promise;
12,De 5:17,Mt 5:21,"Ye have heard that it was said of them of old time, Thou shalt not kill; and whosoever shall kill shall be in danger of the judgment:"
13,De 5:18,Mt 5:27,"Ye have heard that it was said by them of old time, Thou shalt not commit adultery:"
160,De 5:21,Ro 7:7,"What shall we say then? Is the law sin? God forbid. Nay, I had not known sin, but by the law: for I had not known lust, except the law had said, Thou shalt not covet."
66,"De 6:4,5","Mr 12:29,30","And Jesus answered him, The first of all the commandments is, Hear, O Israel; The Lord our God is one Lord:"
40,De 6:5,Mt 22:37,"Jesus said unto him, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy mind."
84,De 6:5,Lu 10:27,"And he answering said, Thou shalt love the Lord thy God with all thy heart, and with all thy soul, and with all thy strength, and with all thy mind; and thy neighbour as thyself."
8,De 6:13,Mt 4:10,"Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve."
77,De 6:13,Lu 4:8,"And Jesus answered and said unto him, Get thee behind me, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve."
7,De 6:16,Mt 4:7,"Jesus said unto him, It is written again, Thou shalt not tempt the Lord thy God."
80,De 6:16,Lu 4:12,"And Jesus answering said unto him, It is said, Thou shalt not tempt the Lord thy God."
5,De 8:3,Mt 4:4,"But he answered and said, It is written, Man shall not live by bread alone, but by every word that proceedeth out of the mouth of God."
76,De 8:3,Lu 4:4,"And Jesus answered him, saying, It is written, That man shall not live by bread alone, but by every word of God."
281,De 9:19,Heb 12:21,"And so terrible was the sight, that Moses said, I exceedingly fear and quake:)"
233,De 10:17,Ga 2:6,"But of these who seemed to be somewhat, (whatsoever they were, it maketh no matter to me: God accepteth no man's person:) for they who seemed to be somewhat in conference added nothing to me:"
9,De 10:20,Mt 4:10,"Then saith Jesus unto him, Get thee hence, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve."
78,De 10:20,Lu 4:8,"And Jesus answered and said unto him, Get thee behind me, Satan: for it is written, Thou shalt worship the Lord thy God, and him only shalt thou serve."
119,"De 18:15,18,19","Ac 3:22,23","For Moses truly said unto the fathers, A prophet shall the Lord your God raise up unto you of your brethren, like unto me; him shall ye hear in all things whatsoever he shall say unto you."
129,De 18:15,Ac 7:37,"This is that Moses, which said unto the children of Israel, A prophet shall the Lord your God raise up unto you of your brethren, like unto me; him shall ye hear."
100,De 19:15,Joh 8:17,"It is also written in your law, that the testimony of two men is true."
232,De 19:15,2Co 13:1,This is the third time I am coming to you. In the mouth of two or three witnesses shall every word be established.
14,De 19:21,Mt 5:38,"Ye have heard that it hath been said, An eye for an eye, and a tooth for a tooth:"
238,De 21:23,Ga 3:13,"Christ hath redeemed us from the curse of the law, being made a curse for us: for it is written, Cursed is every one that hangeth on a tree:"
211,De 25:4,1Co 9:9,"For it is written in the law of Moses, Thou shalt not muzzle the mouth of the ox that treadeth out the corn. Doth God take care for oxen?"
249,De 25:4,1Ti 5:18,"For the scripture saith, Thou shalt not muzzle the ox that treadeth out the corn. And, The labourer is worthy of his reward."
38,De 25:5,Mt 22:24,"Saying, Master, Moses said, If a man die, having no children, his brother shall marry his wife, and raise up seed unto his brother."
64,De 25:5,Mr 12:19,"Master, Moses wrote unto us, If a man's brother die, and leave his wife behind him, and leave no children, that his brother should take his wife, and raise up seed unto his brother."
92,De 25:5,Lu 20:28,"Saying, Master, Moses wrote unto us, If any man's brother die, having a wife, and he die without children, that his brother should take his wife, and raise up seed unto his brother."
235,De 27:26,Ga 3:10,"For as many as are of the works of the law are under the curse: for it is written, Cursed is every one that continueth not in all things which are written in the book of the law to do them."
